CGND-HDA-00552-b38	HRA_00620
CGND-HDA-01313-b38	HRA_00319
CGND-HDA-00560-b38	HRA_00653
CGND-HDA-01476	HRA_00718
CGND-HDA-00592-b38	HRA_00205
CGND-HDA-00521-b38	HRA_00156
CGND-HDA-00197-b38	HRA_00078
CGND-HDA-00189-b38	HRA_00070
CGND-HDA-00200-b38	HRA_00081
CGND-HDA-00464-b38	HRA_00099
CGND-HDA-00543-b38	HRA_00531
CGND-HDA-01312-b38	HRA_00311
CGND-HDA-01330-b38	HRA_00434
CGND-HDA-00469-b38	HRA_00104
CGND-HDA-00486-b38	HRA_00121
CGND-HDA-01328-b38	HRA_00422
CGND-HDA-00471-b38	HRA_00106
CGND-HDA-00196-b38	HRA_00077
CGND-HDA-00559-b38	HRA_00194
CGND-HDA-00201-b38	HRA_00082
CGND-HDA-00465-b38	HRA_00100
CGND-HDA-00473-b38	HRA_00108
CGND-HDA-00493-b38	HRA_00128
CGND-HDA-02045	HRA_00706
CGND-HDA-01311-b38	HRA_00303
CGND-HDA-01327-b38	HRA_00416
CGND-HDA-01318-b38	HRA_00357
CGND-HDA-00195-b38	HRA_00076
CGND-HDA-00594-b38	HRA_00207
CGND-HDA-00553-b38	HRA_00549
CGND-HDA-00519-b38	HRA_00154
CGND-HDA-02061	HRA_00720
CGND-HDA-02057	HRA_00598
CGND-HDA-02053	HRA_00585
CGND-HDA-02052	HRA_00713
CGND-HDA-01326-b38	HRA_00410
CGND-HDA-00567-b38	HRA_00202
CGND-HDA-00194-b38	HRA_00075
CGND-HDA-01310-b38	HRA_00295
CGND-HDA-01319-b38	HRA_00365
CGND-HDA-00531-b38	HRA_00166
CGND-HDA-00595-b38	HRA_00208
CGND-HDA-00475-b38	HRA_00110
CGND-HDA-00491-b38	HRA_00126
CGND-HDA-00508-b38	HRA_00143
CGND-HDA-01325-b38	HRA_00404
CGND-HDA-00524-b38	HRA_00159
CGND-HDA-00540-b38	HRA_00525
CGND-HDA-00193-b38	HRA_00074
CGND-HDA-00547-b38	HRA_00182
CGND-HDA-00564-b38	HRA_00667
CGND-HDA-00466-b38	HRA_00101
CGND-HDA-01324-b38	HRA_00398
CGND-HDA-01316-b38	HRA_00386
CGND-HDA-00476-b38	HRA_00111
CGND-HDA-00192-b38	HRA_00073
CGND-HDA-00548-b38	HRA_00183
CGND-HDA-00550-b38	HRA_00542
CGND-HDA-00516-b38	HRA_00151
CGND-HDA-00533-b38	HRA_00168
CGND-HDA-01317-b38	HRA_00349
CGND-HDA-01315-b38	HRA_00333
CGND-HDA-00198-b38	HRA_00079
CGND-HDA-00590-b38	HRA_00203
CGND-HDA-00549-b38	HRA_00538
CGND-HDA-01320-b38	HRA_00372
CGND-HDA-00534-b38	HRA_00169
CGND-HDA-00535-b38	HRA_00170
CGND-HDA-01314-b38	HRA_00326
CGND-HDA-00190-b38	HRA_00071
CGND-HDA-00541-b38	HRA_00566
CGND-HDA-01321-b38	HRA_00380
