CGND-HDA-00536-b38	HRA_00171
CGND-HDA-00201-b38	HRA_00040
CGND-HDA-00595-b38	HRA_00232
CGND-HDA-00552-b38	HRA_00626
CGND-HDA-01315-b38	HRA_00340
CGND-HDA-00198-b38	HRA_00051
CGND-HDA-01313-b38	HRA_00322
CGND-HDA-00556-b38	HRA_00645
CGND-HDA-00599-b38	HRA_00271
CGND-HDA-00590-b38	HRA_00233
CGND-HDA-01325-b38	HRA_00407
CGND-HDA-00560-b38	HRA_00657
CGND-HDA-00538-b38	HRA_00634
CGND-HDA-00540-b38	HRA_00528
CGND-HDA-00566-b38	HRA_01250
CGND-HDA-00193-b38	HRA_00032
CGND-HDA-01311-b38	HRA_00307
CGND-HDA-00549-b38	HRA_00609
CGND-HDA-00558-b38	HRA_00649
CGND-HDA-01320-b38	HRA_00376
CGND-HDA-01327-b38	HRA_00419
CGND-HDA-00592-b38	HRA_00229
CGND-HDA-01318-b38	HRA_00361
CGND-HDA-00534-b38	HRA_00558
CGND-HDA-00195-b38	HRA_00048
CGND-HDA-00551-b38	HRA_00548
CGND-HDA-00564-b38	HRA_00670
CGND-HDA-01322-b38	HRA_00390
CGND-HDA-00594-b38	HRA_00231
CGND-HDA-00553-b38	HRA_00552
CGND-HDA-01324-b38	HRA_01290
CGND-HDA-00197-b38	HRA_00050
CGND-HDA-01316-b38	HRA_00344
CGND-HDA-00535-b38	HRA_01217
CGND-HDA-00189-b38	HRA_00042
CGND-HDA-00200-b38	HRA_00053
CGND-HDA-02057	HRA_01265
CGND-HDA-02053	HRA_01256
CGND-HDA-00190-b38	HRA_00043
CGND-HDA-01326-b38	HRA_00414
CGND-HDA-00543-b38	HRA_00573
CGND-HDA-00199-b38	HRA_00052
CGND-HDA-00541-b38	HRA_00570
CGND-HDA-00192-b38	HRA_00031
CGND-HDA-01312-b38	HRA_00318
CGND-HDA-00555-b38	HRA_01224
CGND-HDA-01330-b38	HRA_00437
CGND-HDA-00567-b38	HRA_01253
CGND-HDA-00565-b38	HRA_00674
CGND-HDA-00194-b38	HRA_00047
CGND-HDA-01328-b38	HRA_00426
CGND-HDA-01310-b38	HRA_00299
CGND-HDA-00548-b38	HRA_00605
CGND-HDA-01319-b38	HRA_00368
CGND-HDA-00550-b38	HRA_00614
CGND-HDA-01702	HRA_01209
CGND-HDA-01701	HRA_01207
CGND-HDA-00196-b38	HRA_00049
CGND-HDA-01321-b38	HRA_00384
CGND-HDA-01317-b38	HRA_00353
CGND-HDA-00559-b38	HRA_00652
